id,name_en,name_he,name_ru,source,category,brand,calories,protein,carbs,fat,fiber,sugars,sodium,has_image
off_3011360030498,Mayonnaise Classique à l'huile de colza,מיונז קלאסי,Майонез классический — Mayonnaise Classique à l'huile de colza,OpenFoodFacts_Global,sauces,Lesieur,650,1,2.8,70,,2,520,yes
off_8480000512239,Queso blanco pasteurizado,גבינה לבנה מפוסטרת,Белый пастеризованный сыр,OpenFoodFacts_Global,dairy,Hacendado,130,9,4.8,8.3,,4.8,299,yes
off_8711200547982,Mayonnaise de Dijon,מיונז דיז'ון,Дижонский майонез,OpenFoodFacts_Global,sauces,Amora,648,1.2,1.6,70,0.5,1.5,720,yes
off_6111242100992,Perly,פרלי,Прлй,OpenFoodFacts_Global,dairy,Jaouda,97,8,9.4,3,,9.4,,yes
off_6111242101180,uht jaouda 1L,חלב ג'אודה UHT 1ל,Молоко Jaouda UHT 1л,OpenFoodFacts_Global,dairy,Jaouda,58,3,4.8,3,,,,yes
off_6111242100985,Fromage frais nature,גבינה טרייה טבעית,Свежий натуральный сыр,OpenFoodFacts_Global,dairy,Perly,101,7.6,4.2,6,,,,yes
off_3760049790214,Pain De Mie Bio,לחם ללא קרום אורגני,Органический хлеб без корки,OpenFoodFacts_Global,bakery,"La Boulangère, La Boulangère Bio",268,8.1,47,4.2,4.9,6.3,440,yes
off_3029330022428,14 Maxi Tranches complet sans sucres ajoutés,14 פרוסות שלמות ללא סוכר,14 больших ломтиков без сахара,OpenFoodFacts_Global,sweets,Jacquet,264,8.5,42,5.2,7.5,2.9,440,yes
off_3760049794298,Pain de mie Bio grandes tranches céréales & graines 500g,לחם אורגני דגנים וזרעים 500ג,Органический хлеб с злаками и семенами 500г,OpenFoodFacts_Global,bakery,"La Boulangère Bio, La boulangere",303,8.6,46,8.3,5.1,5.1,440,yes
off_6111242102941,Yogurt Bnine BANANA,יוגורט בננה,Банановый йогурт,OpenFoodFacts_Global,dairy,Jaouda,88.1,3.9,14.3,1.7,,9.3,,yes
off_3175681272941,"Gerble - Organic Chocolate Cookie Flavored w/ Banana, 132g (4.7oz)","שוקולד — Gerble - Organic Chocolate Cookie Flavored w/ Banana, 132g (4.7oz)","Банан — Gerble - Organic Chocolate Cookie Flavored w/ Banana, 132g (4.7oz)",OpenFoodFacts_Global,sweets,"Gerblé, Gerblé Bio",459,9,59,19,7.8,14,144,yes
off_8718403887518,Banana chips,בננה — Banana chips,Банан,OpenFoodFacts_Global,sweets,suny bites,528,2,56,32,,16,4,yes
off_3045320517101,Compote de pomme allégée,קומפוט תפוחים דיאטטי,Диетическое яблочное пюре,OpenFoodFacts_Global,sweets,Andros,63,0.3,14,0.2,1.9,14,,yes
off_3021760403167,Pom'Potes Bio - Pomme Bio,מחית תפוחים אורגנית,Органическое яблочное пюре,OpenFoodFacts_Global,baby,Materne,61,0.5,12,0.6,1.3,11,,yes
off_3478820008235,Purée Pomme Poire Williams,מחית תפוח ואגס,Пюре из яблока и груши,OpenFoodFacts_Global,baby,"Jardin Bio, Léa Nature",52,0.36,12,0.14,1.8,10,,yes
off_5060136255939,"Marinated Tomato, Broccoli & Spinach Vegan Quiche",קיש טבעוני עגבנייה ברוקולי ותרד,"Веганский киш с томатом, брокколи и шпинатом",OpenFoodFacts_Global,international,Higgidy,205,4.6,23.3,9.6,3.5,3.2,336,yes
off_5012427212404,"Super Good Pea, Broccoli and Basil Pesto",פסטו אפונה ברוקולי ובזיליקום,"Песто из гороха, брокколи и базилика",OpenFoodFacts_Global,sauces,Baxters,47,2.3,5.9,1.1,2.2,1.5,181,yes
off_3571492670004,Parmentier de saumon 🐟,פרמנטייה סלמון,Парментье из лосося,OpenFoodFacts_Global,fish,Maison Briau,154,7.8,7.6,10,1.3,1.3,324,yes
off_4056489530268,Salmon ahumado,סלמון מעושן,Копчёный лосось,OpenFoodFacts_Global,fish,Nautica,144,18.9,,7.7,,,1280,yes
off_3270160813001,"Saumon et Colin d'Alaska à l'oseille, pommes de terre",סלמון וקולי עם שורש ותפוחי אדמה,Лосось и макрурус со щавелем и картофелем,OpenFoodFacts_Global,fish,"Formule express, Picard",92,4.8,8,4.2,1.3,1.7,180,yes
off_6111242102187,Ghani,גאני,Гנй,OpenFoodFacts_Global,dairy,Jaouda,80,3.2,13.3,1.6,,12,80,yes
off_8436547770137,Kéfir natural sabor suave,קפיר טבעי טעם עדין,Натуральный кефир мягкий вкус,OpenFoodFacts_Global,dairy,Hacendado,74,3.9,5.1,4.2,,2.3,,yes
off_20047559,Yogurt Greek Style,יוגורט סגנון יווני,Йогурт греческого типа,OpenFoodFacts_Global,dairy,Pilos,96.1759082217972,4.6,3.2,10,0.5,3.2,40,yes
off_6111184004730,Ketchup star 310 g,קטשופ סטאר 310ג,Кетчуп Star 310г,OpenFoodFacts_Global,sauces,Star,108,1.12,25.7,0.08,,22.36,2.22,yes
off_8715700407760,Tomato Ketchup BIO,קטשופ עגבניות אורגני,Органический кетчуп,OpenFoodFacts_Global,sauces,Heinz,112,1.4,25.3,0.1,,24.8,680,yes
off_6111251753899,Olla,אולה,Вл,OpenFoodFacts_Global,dairy,Olla,73,1.3,8.7,3.3,1.3,2.3,900,yes
off_5053990155354,Sour Cream & Onion,שמנת חמוצה — Sour Cream & Onion,Сливки — Sour Cream & Onion,OpenFoodFacts_Global,other,Pringles,525,6,56,30,3.4,2.7,520,yes
off_5053990101597,Sour Cream & Onion,שמנת חמוצה — Sour Cream & Onion,Сливки — Sour Cream & Onion,OpenFoodFacts_Global,other,Pringles,517,6.3,56,29,3.5,2.1,472,yes
off_5053990127740,Pringles Sour Cream,פרינגלס שמנת,Pringles сметана,OpenFoodFacts_Global,other,Pringles,519,6.3,54,30,4,2,440,yes
off_3083680482042,Petits Pois & Carottes,אפונה וגזר,Горошек и морковь,OpenFoodFacts_Global,vegetable,Cassegrain,59,3.6,7.6,0.7,4.2,3.8,308,yes
off_3270190207511,Carottes râpées au jus de citron,Carottes râpées au jus de citron,Морковь тёртая Лимон Сок,OpenFoodFacts_Global,vegetable,Carrefour Classic,71,0.9,6.3,4,3,5.4,272,yes
off_5010292961182,Kimchi,Kimchi,Кимчи,OpenFoodFacts_Global,vegetable,Vadasz,15,1.1,1,0.4,1.8,,826,yes
off_3599741006312,Epinards hachés à la crème fraîche,Epinards hachés à la crème fraîche,Сливки Свежие нарезанный,OpenFoodFacts_Global,greens,Findus,78,3.5,5.3,4.4,1.7,1.4,240,yes
off_3599741006350,Epinards hachés à la crème,Epinards hachés à la crème,Сливки нарезанный — Epinards hachés à la crème,OpenFoodFacts_Global,greens,Findus,78,3.5,5.3,4.4,1.7,1.4,240,yes
off_3599741006329,Épinards Branches à la Crème,Épinards Branches à la Crème,Шпинат Сливки Шпинат Веточки,OpenFoodFacts_Global,greens,Findus,68,3.5,5.8,3.1,1.6,1.9,240,yes
off_0815074022915,Avocado Oil Spray,אבוקדו — Avocado Oil Spray,Масло авокадо,OpenFoodFacts_Global,oils,Chosen Foods,5,,,0.5,,,,yes
off_20229030,Avocados,אבוקדו — Avocados,Авокадо,OpenFoodFacts_Global,fruit,Lidl,190,1.9,1.9,19.5,3.4,0.5,20,yes
off_0787099923204,All Natural Avocado Oil Mayo,אבוקדו — All Natural Avocado Oil Mayo,Масло авокадо — All Natural Avocado Oil Mayo,OpenFoodFacts_Global,oils,Dr Wills,755,1.9,0.4,82.8,,0.1,244,yes
off_8595229901075,Musli Oat biscuits (Blueberry),אוכמניות — Musli Oat biscuits (Blueberry),Черника — Musli Oat biscuits (Blueberry),OpenFoodFacts_Global,sweets,Emco,439,7.3,62,17,4.2,23,76,yes
off_5060088706534,Blueberry Muffin Myrtilles,אוכמניות — Blueberry Muffin Myrtilles,Черника — Blueberry Muffin Myrtilles,OpenFoodFacts_Global,bakery,nakd,374.285714285714,6.57,57.1,11.1,9.42857142857143,48.6,11.4,yes
off_5060088705940,Blueberry Muffin raw fruit & nut bar,אוכמניות — Blueberry Muffin raw fruit & nut bar,Черника — Blueberry Muffin raw fruit & nut bar,OpenFoodFacts_Global,sweets,nakd,374.285714285714,6.57142857142857,57.1428571428571,11.1428571428571,9.42857142857143,48.5714285714286,28.571428571428598,yes
off_3083680918497,Cassegrain - Lentilles préparées 4/4,עדשים — Cassegrain - Lentilles préparées 4/4,Чечевица — Cassegrain - Lentilles préparées 4/4,OpenFoodFacts_Global,legumes,Cassegrain,91,6.6,14,0.5,3.1,0.5,304,yes
off_3760020508883,Lentilles façon petit salé,עדשים — Lentilles façon petit salé,Чечевица — Lentilles façon petit salé,OpenFoodFacts_Global,legumes,"Jardin Bio, Léa nature",135,8,17,2.3,7.2,0.6,260,yes
off_3270160695621,"Crevettes à l'indienne, lentilles corail et légumes","עדשים — Crevettes à l'indienne, lentilles corail et légumes",Чечевица Креветки индийский Овощи,OpenFoodFacts_Global,fish,Picard,93.1428571428571,8.1,7.6,2.8,3.1,1.7,132,yes
off_3560071018085,Pois chiches au sel de Noirmoutier,Pois chiches au sel de Noirmoutier,Горох Нут Соль,OpenFoodFacts_Global,legumes,"Carrefour BIO, Carrefour",130,6.6,16,2.9,7.4,0.5,144,yes
off_5051399182506,CHICKPEAS IN WATER,חומוס — CHICKPEAS IN WATER,Вода — CHICKPEAS IN WATER,OpenFoodFacts_Global,legumes,TESCO,125.833333333333,7.8,16.5,2.4,5.2,0.7,0.004,yes
off_5036829756328,"MEDITERRANEAN FALAFEL with CHICKPEAS, GARLIC & BASIL","חומוס — MEDITERRANEAN FALAFEL with CHICKPEAS, GARLIC & BASIL","Чеснок — MEDITERRANEAN FALAFEL with CHICKPEAS, GARLIC & BASIL",OpenFoodFacts_Global,israeli,Gosh!,260.526315789474,7.6,22,14.3,7.3,1.5,472,yes
off_3229820762692,TOFU NATURE,טופו — TOFU NATURE,Натуральный Тофу,OpenFoodFacts_Global,vegan,BJORG,151,17,1.3,8.5,0.7,0.5,16,yes
off_3229820794112,Tofu fumé,טופו — Tofu fumé,Тофу Копчёный,OpenFoodFacts_Global,vegan,Bjorg,139,15,1,7.7,2.7,0.5,236,yes
off_3175681170841,"Ravioli au tofu, tomates, basilic","בזיליקום — Ravioli au tofu, tomates, basilic",Томатный Базилик Базилик Тофу,OpenFoodFacts_Global,vegan,Céréales bio,111,3.8,15,3.1,3.8,2.9,296,yes
off_8852018101055,Shrimp Flavour,שרימפ — Shrimp Flavour,Креветки,OpenFoodFacts_Global,fish,Yum Yum,75,1.3,9.2,3.6,,0.7,920,yes
off_20298067,Crevettes recette ail et fines herbes,Crevettes recette ail et fines herbes,Креветки Чеснок травы рецепт,OpenFoodFacts_Global,fish,LIDL,123,19,0.6,5.1,,0.5,720,yes
off_5059319023762,Miel Pops,Miel Pops,Нарезной Мёд,OpenFoodFacts_Global,sweets,KELLOG'S,384,5.2,85,1.5,4.6,22,160,yes
off_3088540004440,Honey,דבש — Honey,Мёд,OpenFoodFacts_Global,sweets,Lune de Miel,320,,80,,,80,0.02,yes
off_7614500010013,Milk Chocolate Almond Nougat,שוקולד — Milk Chocolate Almond Nougat,Молочный шоколад — Milk Chocolate Almond Nougat,OpenFoodFacts_Global,sweets,Toblerone,529,5.6,61,28,2.4,60,48,yes
off_3159470000120,CORN FLAKES,קורנפלקס — CORN FLAKES,Кукурузные хлопья,OpenFoodFacts_Global,grains,Kellogg's,376.666666666667,7,84,0.9,3,8,440,yes
off_3229820794648,GALETTES EXTRA-FINES MAΪS,GALETTES EXTRA-FINES MAΪS,Лепёшки — GALETTES EXTRA-FINES MAΪS,OpenFoodFacts_Global,bakery,BJORG,381,9.2,74,4,6.2,0.8,120,yes
off_8410076481597,Tortilla Nachos Original,טורטייה — Tortilla Nachos Original,Тортилья Начос,OpenFoodFacts_Global,other,Old El Paso,483.333333333333,7.67,59,23.7,6,0.67,196,yes
off_6923818812082,Green Tea,תה — Green Tea,Чай,OpenFoodFacts_Global,drinks,green tea,0.5,0.5,0.5,0.5,0.2,0.2,40,yes
off_3700679600194,4 pains pita à la farine complète,פיתה — 4 pains pita à la farine complète,Хлеб — 4 pains pita à la farine complète,OpenFoodFacts_Global,bakery,Bien,259,7.5,52,1,3.8,4,433,yes
off_3556071235287,4 pains pita 320g,פיתה — 4 pains pita 320g,Хлеб — 4 pains pita 320g,OpenFoodFacts_Global,bakery,La Boulangère,257.5,7.5,51,1.9,2.9,6.6,520,yes
off_4088600276267,soft wholemeal pittas,שלם — soft wholemeal pittas,Мягкие цельнозерновые питты,OpenFoodFacts_Global,bakery,VILLAGE BAKERY,236.666666666667,10,42,1.3,8.1,1.7,340,yes
off_3329757004992,Sirop de datte,Sirop de datte,Sirop de datte,OpenFoodFacts_Global,sweets,"Pure Via, Pure via",314,1.2,76,0.4,,67,240,yes
off_5407003032956,Bio Date Syrup,סירופ — Bio Date Syrup,Сироп — Bio Date Syrup,OpenFoodFacts_Global,sweets,BEE&CEE FOODS AND DRINKS,379,2,92,0.1,0.1,91,40,yes
fd_il_f7d3ecf5c5675bf7,Orange,תפוז,Апельсин,FoodsDictionary_IL,fruit,,46,0.7,11.5,0.21,2.4,9.14,,yes
fd_il_09d8cbe5012e9438,Mandarin,מנדרינה,Мандарин,FoodsDictionary_IL,fruit,,53,0.81,13.34,0.31,1.8,10.58,2,yes
fd_il_b80967087fdefd96,Lime,ליים,Лайм,FoodsDictionary_IL,fruit,,30,0.7,10.54,0.2,2.8,1.69,2,yes
fd_il_17d983dbeb739193,Grapefruit,אשכולית,Грейпфрут,FoodsDictionary_IL,fruit,,33,0.69,8.41,0.1,1.1,7.31,,yes
fd_il_78871a73fd911c83,Strawberry,תות שדה,Клубника,FoodsDictionary_IL,fruit,,32,0.67,7.68,0.3,2,4.89,1,yes
fd_il_8d11a1997424285a,Pineapple,אננס,Ананас,FoodsDictionary_IL,fruit,,50,0.54,13.12,0.12,1.4,9.85,1,yes
fd_il_3f0d79e39ea180fb,Mango,מנגו,Манго,FoodsDictionary_IL,fruit,,65,0.51,17,0.27,1.8,14.8,2,yes
fd_il_e14675da503baf6d,Papaya,פפאיה,Папайя,FoodsDictionary_IL,fruit,,39,0.61,9.81,0.14,1.8,5.9,3,yes
fd_il_0fbbcc94155f5d9b,Kiwi,קיווי,Киви,FoodsDictionary_IL,fruit,,61,0.99,14.88,0.44,3.4,,5,yes
fd_il_c35bc369cfede188,Peach,אפרסק,Персик,FoodsDictionary_IL,fruit,,42,0.91,10.1,0.27,1.5,8.39,13,yes
fd_il_07646b1ea69c8032,Plum,שזיף,Слива,FoodsDictionary_IL,fruit,,46,0.7,11.42,0.28,1.4,9.92,,yes
fd_il_3d4f4ecedc7c678f,Apricot,משמש,Абрикос,FoodsDictionary_IL,fruit,,48,1.4,11.12,0.39,2,9.24,1,yes
fd_il_00a25385f7468a08,Pomegranate,רימון,Гранат,FoodsDictionary_IL,fruit,,83,1.67,18.7,1.17,4,13.67,,yes
fd_il_a1fb00a5c9f1535f,Raisins,צימוקים,Изюм,FoodsDictionary_IL,fruit,,302,3.39,79.52,0.46,4,59.19,,yes
fd_il_0712d207debb11ea,Dried apricot,משמש מיובש,Сушёный абрикос,FoodsDictionary_IL,fruit,,241,3.39,62.64,0.51,7.3,53.44,10,yes
fd_il_949c673e86ffb60b,Melon,מלון,Дыня,FoodsDictionary_IL,fruit,,34,0.84,8.16,0.19,0.9,7.86,16,yes
fd_il_d4c45d132865a2bb,Red bell pepper,פלפל אדום,Красный болгарский перец,FoodsDictionary_IL,vegetable,,31,0.99,6.03,0.3,2.1,4.2,4,yes
fd_il_36361703d7612192,Green bell pepper,פלפל ירוק,Зелёный болгарский перец,FoodsDictionary_IL,vegetable,,20,0.86,4.64,0.17,1.7,2.4,3,yes
fd_il_c587ef71c439aa40,Garlic,שום,Чеснок,FoodsDictionary_IL,vegetable,,149,6.36,33.06,0.5,2.1,1,,yes
fd_il_e37326f352319bf9,Red cabbage,כרוב אדום,Краснокочанная капуста,FoodsDictionary_IL,vegetable,,31,1.43,7.37,0.16,2.1,3.83,27,yes
