# c60 subgroup-fix — trainer-grade subgroup pass
# 1) elbow flexors grip split: hammer/rope → Brachioradialis (40), reverse → Brachialis (29)
# 2) 35 explicit subgroup dispositions (chest/shoulders/abs/back)
gi_8622 | Seated Incline Chest Press on a Chair | chest/Middle → chest/Upper
gi_8620 | Seated Decline Chest Press on a Chair | chest/Middle → chest/Lower
bf_handstand-push-up | Handstand Push Up | shoulders/Middle → shoulders/Front
bf_pike-push-up | Pike Push Up | shoulders/Middle → shoulders/Front
gi_3401 | Pike Push-up (between Benches) | shoulders/Middle → shoulders/Front
gi_3402 | Pike Push-up (between Chairs) | shoulders/Middle → shoulders/Front
gi_5151 | Kipping Handstand Push-up | shoulders/Middle → shoulders/Front
gi_9316 | Ring Elevanted Pike Push-up from deficit | shoulders/Middle → shoulders/Front
gv_0161 | cable forward raise | shoulders/Middle → shoulders/Front
gi_4394 | Alternate Shoulder Flexion Back to Wall | shoulders/Middle → shoulders/Front
gi_6439 | Resistance Band Standing Single Arm Shoulder Flexion | shoulders/Middle → shoulders/Front
gv_0154 | cable cross-over revers fly | shoulders/Middle → shoulders/Rear
gi_1113 | Suspension Face Pul | shoulders/Middle → shoulders/Rear
gi_10330 | Dumbbell Powell Raise | shoulders/Middle → shoulders/Rear
gi_7252 | Dumbbell Incline Powell Raise | shoulders/Middle → shoulders/Rear
gi_1503 | Band Pull Apart | shoulders/Middle → shoulders/Rear
gi_4568 | Resistance Band Pull Apart | shoulders/Middle → shoulders/Rear
gi_5317 | Resistance Band Pull Apart (45 degrees) | shoulders/Middle → shoulders/Rear
gi_4412 | Resistance Band Pullapart (Pronated at 90 Degrees) | shoulders/Middle → shoulders/Rear
gv_0863 | dumbbell lying external shoulder rotation | shoulders/Middle → shoulders/Rotator Cuff
gi_5001 | Dumbbell Seated External Shoulder Rotation | shoulders/Middle → shoulders/Rotator Cuff
SKIP already Rotator Cuff: dumbbell upright shoulder external rotation dumbbell upright shoulder external rotation
gi_5819 | Dumbbell Empty Can Exercise | shoulders/Middle → shoulders/Rotator Cuff
gi_5818 | Weighted Full Can Exercise | shoulders/Middle → shoulders/Rotator Cuff
gi_11010 | Hip Lift - Low Back Off Floor | abdominals/Upper → abdominals/Lower
gi_2839 | Chest Lift with Rotation | abdominals/Upper → abdominals/Obliques
gi_10065 | Lever Torso Rotation | abdominals/Upper → abdominals/Obliques
gi_5333 | Lever Trunk Rotation | abdominals/Upper → abdominals/Obliques
gi_1699 | Medicine Ball Rotational Throw | abdominals/Upper → abdominals/Obliques
